country_a,country_b,edge_type,weight
US,CA,contiguity,0.30
US,MX,contiguity,0.30
MX,GT,contiguity,0.30
GT,BH,contiguity,0.30
GT,ES,contiguity,0.30
GT,HO,contiguity,0.30
BH,ES,contiguity,0.30
BH,NU,contiguity,0.30
ES,HO,contiguity,0.30
HO,NU,contiguity,0.30
NU,CS,contiguity,0.30
CS,PM,contiguity,0.30
CO,VE,contiguity,0.30
CO,BR,contiguity,0.30
CO,PE,contiguity,0.30
CO,EC,contiguity,0.30
VE,BR,contiguity,0.30
BR,PE,contiguity,0.30
BR,BO,contiguity,0.30
BR,PY,contiguity,0.30
BR,AR,contiguity,0.30
BR,UY,contiguity,0.30
PE,BO,contiguity,0.30
PE,EC,contiguity,0.30
BO,AR,contiguity,0.30
BO,PY,contiguity,0.30
AR,PY,contiguity,0.30
AR,UY,contiguity,0.30
AR,CL,contiguity,0.30
FR,GM,contiguity,0.30
FR,SP,contiguity,0.30
FR,IT,contiguity,0.30
FR,BL,contiguity,0.30
FR,LU,contiguity,0.30
FR,SW,contiguity,0.30
GM,PL,contiguity,0.30
GM,EZ,contiguity,0.30
GM,AU,contiguity,0.30
GM,SZ,contiguity,0.30
GM,LU,contiguity,0.30
GM,BE,contiguity,0.30
GM,NL,contiguity,0.30
GM,DA,contiguity,0.30
PL,EZ,contiguity,0.30
PL,SK,contiguity,0.30
PL,UK,contiguity,0.30
PL,LI,contiguity,0.30
PL,LH,contiguity,0.30
PL,RS,contiguity,0.30
RS,UP,contiguity,0.30
RS,FI,contiguity,0.30
RS,EN,contiguity,0.30
RS,LV,contiguity,0.30
RS,LI,contiguity,0.30
RS,LH,contiguity,0.30
RS,BO,contiguity,0.30
RS,CH,contiguity,0.30
RS,KZ,contiguity,0.30
RS,MG,contiguity,0.30
RS,NO,contiguity,0.30
UP,BO,contiguity,0.30
UP,RO,contiguity,0.30
UP,MO,contiguity,0.30
UP,SK,contiguity,0.30
UP,HU,contiguity,0.30
CH,KZ,contiguity,0.30
CH,MG,contiguity,0.30
CH,KN,contiguity,0.30
CH,VM,contiguity,0.30
CH,LA,contiguity,0.30
CH,BM,contiguity,0.30
CH,NP,contiguity,0.30
CH,BT,contiguity,0.30
CH,IN,contiguity,0.30
CH,AF,contiguity,0.30
CH,PK,contiguity,0.30
CH,TJ,contiguity,0.30
CH,KG,contiguity,0.30
IN,PK,contiguity,0.30
IN,NP,contiguity,0.30
IN,BT,contiguity,0.30
IN,BG,contiguity,0.30
IN,BM,contiguity,0.30
AF,PK,contiguity,0.30
AF,IR,contiguity,0.30
AF,TJ,contiguity,0.30
AF,TU,contiguity,0.30
AF,UZ,contiguity,0.30
IR,IZ,contiguity,0.30
IR,TU,contiguity,0.30
IR,PK,contiguity,0.30
IZ,SY,contiguity,0.30
IZ,JO,contiguity,0.30
IZ,SA,contiguity,0.30
IZ,KW,contiguity,0.30
IZ,TU,contiguity,0.30
SY,LE,contiguity,0.30
SY,JO,contiguity,0.30
SY,IS,contiguity,0.30
SY,TU,contiguity,0.30
LE,IS,contiguity,0.30
LE,JO,contiguity,0.30
IS,JO,contiguity,0.30
IS,EG,contiguity,0.30
JO,SA,contiguity,0.30
SA,YM,contiguity,0.30
SA,OM,contiguity,0.30
SA,AE,contiguity,0.30
SA,QA,contiguity,0.30
SA,KW,contiguity,0.30
SA,BA,contiguity,0.30
TU,GR,contiguity,0.30
TU,BU,contiguity,0.30
TU,GG,contiguity,0.30
TU,AM,contiguity,0.30
GR,BU,contiguity,0.30
GR,MK,contiguity,0.30
GR,AL,contiguity,0.30
BU,RO,contiguity,0.30
BU,MK,contiguity,0.30
BU,SR,contiguity,0.30
RO,MO,contiguity,0.30
RO,HU,contiguity,0.30
RO,SR,contiguity,0.30
EG,LY,contiguity,0.30
EG,SU,contiguity,0.30
LY,TD,contiguity,0.30
LY,TS,contiguity,0.30
LY,AG,contiguity,0.30
LY,NI,contiguity,0.30
LY,SU,contiguity,0.30
TS,AG,contiguity,0.30
AG,MO,contiguity,0.30
AG,MR,contiguity,0.30
AG,ML,contiguity,0.30
AG,NI,contiguity,0.30
MO,SP,contiguity,0.30
SU,CD,contiguity,0.30
SU,ET,contiguity,0.30
SU,ER,contiguity,0.30
SU,CF,contiguity,0.30
ET,ER,contiguity,0.30
ET,DJ,contiguity,0.30
ET,SO,contiguity,0.30
ET,KE,contiguity,0.30
NI,CM,contiguity,0.30
NI,BN,contiguity,0.30
NI,CD,contiguity,0.30
NI,CF,contiguity,0.30
NI,NR,contiguity,0.30
CM,CF,contiguity,0.30
CM,CD,contiguity,0.30
CM,GA,contiguity,0.30
CM,EK,contiguity,0.30
KN,KS,contiguity,0.30
